"Name"|"Age"|"Class.Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"1"|"ANDERSON, Mr James"|"40"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"3"|NA
"2"|"ARCHER, Mr Ernest Edward"|"36"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"16"|NA
"3"|"BAILEY, Mr Henry Joseph"|"43"|"Deck"|NA|NA|NA|NA|"Southampton"|"Master-at-arms"|"16"|NA
"4"|"BOXHALL, Mr Joseph Groves"|"28"|"Deck"|NA|NA|NA|NA|"Belfast"|"4th. Officer"|"2"|NA
"5"|"BRADLEY, Mr T."|"29"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|NA
"6"|"BRICE, Mr Walter T"|"42"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"11"|NA
"7"|"BRIGHT, Mr Arthur John"|"42"|"Deck"|NA|NA|NA|NA|"Belfast"|"Quartermaster"|"D"|NA
"8"|"BULEY, Mr Edward John"|"27"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"10"|NA
"9"|"CLENCH, Mr Frederick"|"34"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"12"|NA
"10"|"CLENCH, Mr George"|"31"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|NA
"11"|"COUCH, Mr Frank"|"28"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|253
"12"|"DAVIS, Mr Stephen James"|"39"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|NA
"13"|"EVANS, Mr Alfred Frank"|"25"|"Deck"|NA|NA|NA|NA|"Southampton"|"Lookout"|"15"|NA
"14"|"EVANS, Mr Frank Oliver"|"27"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"10"|NA
"15"|"FLEET, Mr Frederick"|"24"|"Deck"|NA|NA|NA|NA|"Belfast"|"Lookout"|"6"|NA
"16"|"FOLEY, Mr John"|"44"|"Deck"|NA|NA|NA|NA|"Belfast"|"Storekeeper"|""|NA
"17"|"FORWARD, Mr James"|"27"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"16"|NA
"18"|"HAINES, Mr Albert M."|"31"|"Deck"|NA|NA|NA|NA|"Belfast"|"Boatswain Mate"|"9"|NA
"19"|"HARDER, Mr William"|"39"|"Deck"|NA|NA|NA|NA|"Southampton"|"Window Cleaner"|"14"|NA
"20"|"HEMMING, Mr Samuel Emest"|"43"|"Deck"|NA|NA|NA|NA|"Belfast"|"Lamp Trimmer"|"4"|NA
"21"|"HICHENS, Mr Robert"|"29"|"Deck"|NA|NA|NA|NA|"Southampton"|"Quartermaster"|"6"|NA
"22"|"HOGG, Mr George Alfred"|"29"|"Deck"|NA|NA|NA|NA|"Belfast"|"Lookout"|"7"|NA
"23"|"HOLMAN, Mr Harry"|"27"|"Deck"|NA|NA|NA|NA|"Belfast"|"Able Seaman"|""|NA
"24"|"HOPKINS, Mr Robert John"|"40"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"13"|NA
"25"|"HORSWILL, Mr Albert Edward James"|"33"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"1"|NA
